"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"841","RT @BroadwayWorld: 42 Timeless (to me) #HairsprayLive GIFS You Shouldn't Live Without  https://t.co/ukibhFWVS8",FALSE,0,NA,2016-12-10 20:35:53,FALSE,NA,"807685288390705152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlanHenry",12,TRUE,FALSE,NA,NA
"842","42 Timeless (to me) #HairsprayLive GIFS You Shouldn't Live Without  https://t.co/ukibhFWVS8",FALSE,44,NA,2016-12-10 20:35:46,FALSE,NA,"807685261073252352",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BroadwayWorld",12,FALSE,FALSE,NA,NA
"843","@Rosie @KChenoweth @SeanHayes @IAMJHUD in #Hairspraylive MAKE MY LIFE ‚ù§Ô∏è‚ù§Ô∏è#watchingitagain #loveit",FALSE,0,"Rosie",2016-12-10 20:35:00,FALSE,NA,"807685065526353922","25203361","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dancerdudejay",0,FALSE,FALSE,NA,NA
"844","Watching #HairsprayLive because @garrettclayton1 https://t.co/ZgF4tzHYZq",FALSE,0,NA,2016-12-10 20:34:38,FALSE,NA,"807684971993280512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aussieninja",0,FALSE,FALSE,NA,NA
"845","RT @HairsprayLive: .@IAMJHUD slays this empowering classic! #HairsprayLive https://t.co/J965gbRnmr",FALSE,0,NA,2016-12-10 20:34:33,FALSE,NA,"807684954419249152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","areicmai",3022,TRUE,FALSE,NA,NA
"846","RT @HeatherMorrisTV: So great seeing @DarrenCriss tonight...am I right?? #HairsprayLive",FALSE,0,NA,2016-12-10 20:34:23,FALSE,NA,"807684910425272320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","caroo_95",668,TRUE,FALSE,NA,NA
"847","RT @MadisonBeer: jennifer. hudson. you. are. magical. #hairspraylive",FALSE,0,NA,2016-12-10 20:33:48,FALSE,NA,"807684762651402240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biebersftbeer",1260,TRUE,FALSE,NA,NA
"848","RT @HairsprayLive: RETWEET if you're an Ultra Clutch girl! Ì†ΩÌ≤Å #HairsprayLive https://t.co/gpz9fVrVqH",FALSE,0,NA,2016-12-10 20:33:24,FALSE,NA,"807684664773214208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Disneydescenda4",235,TRUE,FALSE,NA,NA
"849","Who needs to read or write when you can dance and sing? #HairsprayLive",FALSE,0,NA,2016-12-10 20:33:20,FALSE,NA,"807684646112727041",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sam_elleman10",0,FALSE,FALSE,NA,NA
"850","RT @ArianaGrande: ""full out!"" @jammyprod ‚ô° ‚ô° ‚ô° I love my #hairspraylive family with all my damn heart. what an‚Ä¶ https://t.co/E7ehTFHqpo",FALSE,0,NA,2016-12-10 20:32:24,FALSE,NA,"807684412901093376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","niallpabellon",4954,TRUE,FALSE,NA,NA
